Name,Date of Birth
Robert Sanchez,18/11/1997
Reece James,08/12/1999
Levi Colwill,26/02/2003
Axel Disasi,11/03/1998
Ben Chilwell,21/12/1996
Enzo Fernandez,17/01/2001
Moises Caicedo,02/11/2001
Cole Palmer,06/05/2002
Raheem Sterling,08/12/1994
Mykhailo Mudryk,05/01/2001
Nicolas Jackson,20/06/2001
